train_nodev_pytorch_012_chars_train_nodev_pytorch_012_phns,39.9,23.4
train_nodev_pytorch_013_chars_train_nodev_pytorch_013_phns,43.9,27.6
train_nodev_pytorch_014_chars_train_nodev_pytorch_014_phns,34.3,22.1
train_nodev_pytorch_015_chars_train_nodev_pytorch_015_phns,34.3,21.7
train_nodev_pytorch_016_chars_train_nodev_pytorch_016_phns,36.8,24.5
train_nodev_pytorch_017_chars_train_nodev_pytorch_017_phns,37.8,24.8
train_nodev_pytorch_018_chars_train_nodev_pytorch_018_phns,38.6,22.5
train_nodev_pytorch_019_chars_train_nodev_pytorch_019_phns,40.0,23.9
train_nodev_pytorch_020_chars_train_nodev_pytorch_020_phns,34.7,21.2
train_nodev_pytorch_021_chars_train_nodev_pytorch_021_phns,35.2,21.6
train_nodev_pytorch_022_chars_train_nodev_pytorch_022_phns,34.6,22.9
train_nodev_pytorch_023_chars_train_nodev_pytorch_023_phns,42.5,27.5
train_nodev_pytorch_024_chars_train_nodev_pytorch_024_phns,41.2,27.1
train_nodev_pytorch_025_chars_train_nodev_pytorch_025_phns,46.3,30.9
train_nodev_pytorch_026_chars_train_nodev_pytorch_026_phns,35.0,23.0
train_nodev_pytorch_027_chars_train_nodev_pytorch_027_phns,34.6,22.5
train_nodev_pytorch_028_chars_train_nodev_pytorch_028_phns,41.5,27.1
train_nodev_pytorch_029_chars_train_nodev_pytorch_029_phns,34.6,22.5
train_nodev_pytorch_030_chars_train_nodev_pytorch_030_phns,39.2,25.8
train_nodev_pytorch_031_chars_train_nodev_pytorch_031_phns,39.0,24.6
train_nodev_pytorch_032_chars_train_nodev_pytorch_032_phns,33.2,20.6
train_nodev_pytorch_033_chars_train_nodev_pytorch_033_phns,33.5,20.7
train_nodev_pytorch_034_chars_train_nodev_pytorch_034_phns,32.6,20.5
train_nodev_pytorch_035_chars_train_nodev_pytorch_035_phns,31.9,20.6
train_nodev_pytorch_036_chars_train_nodev_pytorch_036_phns,39.0,23.5
train_nodev_pytorch_037_chars_train_nodev_pytorch_037_phns,38.2,22.7
train_nodev_pytorch_038_chars_train_nodev_pytorch_038_phns,34.7,22.3
train_nodev_pytorch_039_chars_train_nodev_pytorch_039_phns,34.4,22.1
train_nodev_pytorch_040_chars_train_nodev_pytorch_040_phns,35.9,24.2
train_nodev_pytorch_041_chars_train_nodev_pytorch_041_phns,36.6,24.0
train_nodev_pytorch_042_chars_train_nodev_pytorch_042_phns,37.9,22.7
train_nodev_pytorch_043_chars_train_nodev_pytorch_043_phns,37.8,22.0
train_nodev_pytorch_044_chars_train_nodev_pytorch_044_phns,33.7,21.4
train_nodev_pytorch_045_chars_train_nodev_pytorch_045_phns,33.1,21.5
train_nodev_pytorch_046_chars_train_nodev_pytorch_046_phns,33.2,20.8
train_nodev_pytorch_047_chars_train_nodev_pytorch_047_phns,32.4,21.2
train_nodev_pytorch_048_chars_train_nodev_pytorch_048_phns,40.8,25.6
train_nodev_pytorch_049_chars_train_nodev_pytorch_049_phns,48.3,32.5
train_nodev_pytorch_050_chars_train_nodev_pytorch_050_phns,34.6,22.2
train_nodev_pytorch_051_chars_train_nodev_pytorch_051_phns,33.9,22.3
train_nodev_pytorch_052_chars_train_nodev_pytorch_052_phns,34.0,22.2
train_nodev_pytorch_053_chars_train_nodev_pytorch_053_phns,33.5,21.7
train_nodev_pytorch_070_chars_train_nodev_pytorch_070_phns,32.2,21.3
train_nodev_pytorch_075_chars_train_nodev_pytorch_075_phns,34.5,22.9
train_nodev_pytorch_076_chars_train_nodev_pytorch_076_phns,34.4,22.3
train_nodev_pytorch_077_chars_train_nodev_pytorch_077_phns,33.5,22.1
train_nodev_pytorch_078_chars_train_nodev_pytorch_078_phns,39.6,24.8
train_nodev_pytorch_079_chars_train_nodev_pytorch_079_phns,38.1,23.9
train_nodev_pytorch_080_chars_train_nodev_pytorch_080_phns,33.0,21.1
train_nodev_pytorch_081_chars_train_nodev_pytorch_081_phns,32.3,20.4
train_nodev_pytorch_082_chars_train_nodev_pytorch_082_phns,31.9,20.7
train_nodev_pytorch_083_chars_train_nodev_pytorch_083_phns,32.6,21.0
train_nodev_pytorch_084_chars_train_nodev_pytorch_084_phns,37.5,22.5
train_nodev_pytorch_085_chars_train_nodev_pytorch_085_phns,37.3,22.1
train_nodev_pytorch_086_chars_train_nodev_pytorch_086_phns,34.0,21.7
train_nodev_pytorch_087_chars_train_nodev_pytorch_087_phns,34.1,22.4
train_nodev_pytorch_088_chars_train_nodev_pytorch_088_phns,37.2,23.6
train_nodev_pytorch_089_chars_train_nodev_pytorch_089_phns,34.3,22.7
train_nodev_pytorch_090_chars_train_nodev_pytorch_090_phns,36.8,21.7
train_nodev_pytorch_091_chars_train_nodev_pytorch_091_phns,37.3,21.4
train_nodev_pytorch_092_chars_train_nodev_pytorch_092_phns,33.3,21.2
train_nodev_pytorch_093_chars_train_nodev_pytorch_093_phns,33.4,21.0
train_nodev_pytorch_094_chars_train_nodev_pytorch_094_phns,32.8,21.7
train_nodev_pytorch_095_chars_train_nodev_pytorch_095_phns,32.4,22.0
train_nodev_pytorch_096_chars_train_nodev_pytorch_096_phns,39.5,25.8
train_nodev_pytorch_097_chars_train_nodev_pytorch_097_phns,40.0,26.0
train_nodev_pytorch_098_chars_train_nodev_pytorch_098_phns,34.5,22.2
train_nodev_pytorch_099_chars_train_nodev_pytorch_099_phns,34.0,22.6
train_nodev_pytorch_100_chars_train_nodev_pytorch_100_phns,33.1,22.2
train_nodev_pytorch_101_chars_train_nodev_pytorch_101_phns,33.2,22.1
train_nodev_pytorch_102_chars_train_nodev_pytorch_102_phns,38.8,24.4
train_nodev_pytorch_103_chars_train_nodev_pytorch_103_phns,39.3,24.1
train_nodev_pytorch_104_chars_train_nodev_pytorch_104_phns,32.8,20.2
train_nodev_pytorch_105_chars_train_nodev_pytorch_105_phns,32.7,20.3
train_nodev_pytorch_106_chars_train_nodev_pytorch_106_phns,32.1,20.9
train_nodev_pytorch_107_chars_train_nodev_pytorch_107_phns,32.1,20.7
train_nodev_pytorch_108_chars_train_nodev_pytorch_108_phns,38.2,22.1
train_nodev_pytorch_109_chars_train_nodev_pytorch_109_phns,36.6,22.1
train_nodev_pytorch_110_chars_train_nodev_pytorch_110_phns,33.6,22.0
train_nodev_pytorch_143_chars_train_nodev_pytorch_143_phns,31.8,20.8
train_nodev_pytorch_144_chars_train_nodev_pytorch_144_phns,41.8,27.4
train_nodev_pytorch_145_chars_train_nodev_pytorch_145_phns,40.8,27.1
train_nodev_pytorch_146_chars_train_nodev_pytorch_146_phns,34.8,22.2
train_nodev_pytorch_147_chars_train_nodev_pytorch_147_phns,34.7,22.2
train_nodev_pytorch_148_chars_train_nodev_pytorch_148_phns,33.6,22.5
train_nodev_pytorch_149_chars_train_nodev_pytorch_149_phns,33.9,22.3
train_nodev_pytorch_150_chars_train_nodev_pytorch_150_phns,40.9,24.9
train_nodev_pytorch_151_chars_train_nodev_pytorch_151_phns,39.8,25.9
train_nodev_pytorch_152_chars_train_nodev_pytorch_152_phns,33.4,21.3
train_nodev_pytorch_153_chars_train_nodev_pytorch_153_phns,34.0,21.2
train_nodev_pytorch_154_chars_train_nodev_pytorch_154_phns,33.0,20.5
train_nodev_pytorch_155_chars_train_nodev_pytorch_155_phns,32.1,20.8
train_nodev_pytorch_156_chars_train_nodev_pytorch_156_phns,39.2,23.3
train_nodev_pytorch_157_chars_train_nodev_pytorch_157_phns,38.5,22.0
train_nodev_pytorch_158_chars_train_nodev_pytorch_158_phns,34.7,22.3
train_nodev_pytorch_159_chars_train_nodev_pytorch_159_phns,34.0,21.9
train_nodev_pytorch_160_chars_train_nodev_pytorch_160_phns,35.2,23.5
train_nodev_pytorch_161_chars_train_nodev_pytorch_161_phns,49.6,33.0
train_nodev_pytorch_162_chars_train_nodev_pytorch_162_phns,38.5,22.6
train_nodev_pytorch_163_chars_train_nodev_pytorch_163_phns,37.6,21.5
train_nodev_pytorch_164_chars_train_nodev_pytorch_164_phns,33.8,20.7
train_nodev_pytorch_165_chars_train_nodev_pytorch_165_phns,33.7,21.1
train_nodev_pytorch_166_chars_train_nodev_pytorch_166_phns,33.0,21.8
train_nodev_pytorch_167_chars_train_nodev_pytorch_167_phns,32.5,21.2
train_nodev_pytorch_168_chars_train_nodev_pytorch_168_phns,43.3,28.2
train_nodev_pytorch_169_chars_train_nodev_pytorch_169_phns,42.3,28.1
train_nodev_pytorch_170_chars_train_nodev_pytorch_170_phns,34.8,22.9
train_nodev_pytorch_171_chars_train_nodev_pytorch_171_phns,35.3,23.1
train_nodev_pytorch_172_chars_train_nodev_pytorch_172_phns,33.6,22.1
train_nodev_pytorch_173_chars_train_nodev_pytorch_173_phns,34.9,22.5
train_nodev_pytorch_174_chars_train_nodev_pytorch_174_phns,41.5,26.6
train_nodev_pytorch_175_chars_train_nodev_pytorch_175_phns,48.3,32.1
train_nodev_pytorch_176_chars_train_nodev_pytorch_176_phns,34.8,22.2
train_nodev_pytorch_177_chars_train_nodev_pytorch_177_phns,32.8,21.1
train_nodev_pytorch_178_chars_train_nodev_pytorch_178_phns,32.6,21.1
train_nodev_pytorch_179_chars_train_nodev_pytorch_179_phns,33.1,21.3
